ID,Categoria,Fonte,Tipo,Instituição,Tema,Regra ou conhecimento extraído,Skill alimentada,Aplicação prática,Confiabilidade,Atualização necessária,Observações
MM-001,Processo judicial,"Código de Processo Civil, arts. 95, 156-158 e 464-480",Lei processual,Presidência da República,Regime geral da perícia judicial,"A perícia depende de conhecimento técnico, exige perito habilitado, permite exame/vistoria/avaliação e impõe deveres de cumprimento, informação e responsabilidade.",pericia-01-triagem-processual; pericia-08-laudo-mecanico; pericia-11-controle-prazos,"Basear aceite, escopo, deveres, substituição, segunda perícia e limites do trabalho pericial.",Alta,Sim - verificar vigência/edição antes de uso externo,Fonte obrigatória. Não confundir com cartilhas ou comentários.
MM-002,Processo judicial,"Código de Processo Civil, arts. 465, 469, 470, 474 e 477",Lei processual,Presidência da República,"Quesitos, assistentes, comunicação e esclarecimentos","Nomeado o perito, partes têm prazo para quesitos/assistentes; quesitos suplementares podem surgir; diligências exigem ciência; laudo pode demandar esclarecimentos.",pericia-04-matriz-quesitos; pericia-05-roteiro-diligencia; pericia-09-revisao-impugnacao; pericia-11-controle-prazos,"Controlar prazos, consolidar quesitos e documentar comunicação das partes antes da vistoria.",Alta,Sim - verificar vigência/edição antes de uso externo,Fonte obrigatória para contraditório técnico.
MM-003,Processo judicial,"Código de Processo Civil, arts. 471, 472, 479 e 480",Lei processual,Presidência da República,"Perícia consensual, dispensa, valoração e segunda perícia",A prova pericial pode ser dispensada se documentos forem suficientes; o juiz valorará a prova pelo método; segunda perícia cabe se a matéria não estiver esclarecida.,pericia-01-triagem-processual; pericia-02-analise-documental; pericia-09-revisao-impugnacao,"Classificar suficiência documental e apontar quando o caso exige perícia, complementação ou nova perícia.",Alta,Sim - verificar vigência/edição antes de uso externo,Não usar para substituir decisão judicial; usar como triagem técnica.
MM-004,Processo judicial,"Jurisprudência oficial do STJ sobre honorários, custeio, intimação e suspeição de perito",Jurisprudência,Superior Tribunal de Justiça,Custeio e incidentes processuais envolvendo perito,"Precedentes ajudam a resolver custeio de perícia de ofício, honorários em gratuidade, intimação do perito e recurso contra decisão de suspeição.",pericia-03-proposta-honorarios; pericia-09-revisao-impugnacao; pericia-10-peticoes,"Usar como reforço argumentativo em petições e impugnações, sem substituir CPC, CNJ ou ato local.",Alta,Sim - verificar precedentes mais recentes e aderência ao caso,"Fonte consultiva forte, não é regra automática para todo caso."
MM-005,Honorários,"Código de Processo Civil, art. 95",Lei processual,Presidência da República,Adiantamento e rateio de honorários,O assistente é pago pela parte que o indicou; o perito é adiantado por quem requereu a prova ou rateado conforme a origem da determinação.,pericia-03-proposta-honorarios; pericia-10-peticoes,"Definir pedido de depósito, rateio, complementação e regime inicial de custeio.",Alta,Sim - verificar vigência/edição antes de uso externo,Fonte obrigatória.
MM-006,Honorários,Resolução CNJ 232/2016,Resolução,Conselho Nacional de Justiça,Honorários em justiça gratuita,"O arbitramento deve considerar complexidade, especialização, lugar, tempo, zelo e peculiaridades regionais, com tabela local quando houver.",pericia-03-proposta-honorarios; pericia-11-controle-prazos,Fundamentar proposta e checar limites nacionais quando houver gratuidade.,Alta,Sim - verificar vigência/edição antes de uso externo,Fonte obrigatória no regime de gratuidade.
MM-007,Honorários,Portarias TJCE 1218/2025 e 968/2026 e tabelas anuais,Portaria/tabela local,Tribunal de Justiça do Estado do Ceará,Valores e vigência de honorários periciais,"A tabela aplicável depende da data de realização da perícia e da rubrica local, com possibilidade de majoração conforme ato vigente.",pericia-03-proposta-honorarios; pericia-10-peticoes; pericia-11-controle-prazos,Selecionar rubrica de Engenharia e Arquitetura ou subitem pertinente e marcar data de vigência.,Alta,"Sim - verificar tabela anual, portaria vigente e datas de aplicação",Fonte altamente temporal; conferir portal do TJCE.
MM-008,Honorários,Resolução OE TJCE 07/2024,Resolução local,TJCE,Pagamento de peritos no Ceará,"No TJCE, o pagamento por orçamento público segue fluxo próprio e pode depender da entrega definitiva do laudo, sem adiantamento de despesas.",pericia-03-proposta-honorarios; pericia-10-peticoes,"Avaliar viabilidade operacional, fluxo de pagamento e exceções antes de aceitar ou propor honorários.",Alta,Sim - verificar vigência/edição antes de uso externo,Fonte local obrigatória quando o processo for do TJCE.
MM-009,Honorários,Regulamento de Honorários do IBAPE/SP,Regulamento profissional consultivo,IBAPE/SP,Composição econômica do trabalho pericial,"A decomposição por horas, complexidade, deslocamento, equipe, documentos e insumos ajuda a justificar o esforço técnico.",pericia-03-proposta-honorarios,"Gerar memória de cálculo e justificar complementação, sem substituir tabela judicial.",Alta,Sim - verificar edição do regulamento,Fonte consultiva; não transformar em obrigação legal.
MM-010,Cadastro de peritos,Resolução CNJ 233/2016,Resolução,CNJ,CPTEC e cadastro eletrônico de peritos,"Tribunais devem manter cadastro, validar documentação, publicar edital e reavaliar periodicamente a qualificação dos profissionais.",pericia-01-triagem-processual; pericia-02-analise-documental; pericia-10-peticoes; pericia-11-controle-prazos,"Checar cadastro, restrições, documentação, deveres e impedimentos antes do aceite.",Alta,Sim - verificar vigência/edição antes de uso externo,Fonte obrigatória de governança nacional.
